Player_name,Level,Role,Metric,Score
Vipraj Nigam,Uncapped,Bowler,FIS,81.8052226
Devon Conway,capped,Wicket Keeper,FIS,30.0
Rajat Patidar,capped,Batter,FIS,63.23562291
Abhishek Sharma,capped,All Rounder,FIS,30.0
Faf du Plessis,capped,Batter,FIS,63.05559746
Angkrish Raghuvanshi,capped,Batter,FIS,30.0
Tilak Varma,capped,Batter,FIS,70.46331218
Sediqullah Atal,capped,Batter,FIS,30.0
Jos Buttler,Elite,Wicket Keeper,FIS,51.53552031
Riyan Parag,capped,All Rounder,FIS,87.75418626
Ruturaj Gaikwad,capped,Batter,FIS,30.0
Tristan Stubbs,capped,Wicket Keeper,FIS,93.10101284
Ayush Badoni,capped,All Rounder,FIS,62.44473259
K L Rahul,Elite,Wicket Keeper,FIS,30.0
Nitish Rana,capped,Batter,FIS,30.0
Will Jacks,capped,All Rounder,FIS,75.66959543
Rahmanullah Gurbaz,capped,Wicket Keeper,FIS,30.0
Rachin Ravindra,capped,All Rounder,FIS,70.43755028
David Miller,capped,Batter,FIS,69.67327287
Sherfane Rutherford,capped,All Rounder,FIS,30.0
Naman Dhir,capped,Batter,FIS,30.0
Shimron Hetmyer,capped,Batter,FIS,49.74230714
Tim David,capped,Batter,FIS,63.76126715
Ashutosh Sharma,capped,All Rounder,FIS,49.85194794
Mayank Agarwal,capped,Batter,FIS,30.0
Vijay Shankar,capped,All Rounder,FIS,69.7319648
Rinku Singh,capped,Batter,FIS,30.0
Rahul Tewatia,capped,All Rounder,FIS,86.29361247
Prasidh Krishna,capped,Bowler,FIS,81.90116393
Shahrukh Khan,capped,All Rounder,FIS,69.60545773
Sunil Narine,Elite,All Rounder,FIS,48.45425533
Corbin Bosch,capped,All Rounder,FIS,30.0
Arshad Khan,Uncapped,All Rounder,FIS,81.86093216
Rishabh Pant,Elite,Wicket Keeper,FIS,30.0
Shivam Dube,capped,All Rounder,FIS,63.09545465
Jasprit Bumrah,Elite,Bowler,FIS,71.24420317
Harsh Dubey,Uncapped,All Rounder,FIS,30.0
Jaydev Unadkat,capped,Bowler,FIS,50.395884
Marco Jansen,capped,All Rounder,FIS,63.09545465
Venkatesh Iyer,Elite,All Rounder,FIS,51.59017626
