Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
PBKSB06,PBKS,Glenn Maxwell,Batter,Australia,420,Right-hand,Right Off-Spin,capped,56.84961359585621,51.33139405049388,57.814774607792444,51.408026719930824,54.846479361921254,54.836264218949516,51.64269250196139,62.79252299459569,30.0,53.49
RRO4,RR,Akash Madhwal,Bowler,India,120,Right-hand,Right Medium-Fast,Uncapped,59.0881029862028,89.45117048409455,62.5745027967302,87.4993103163358,68.1545486683087,73.35895660874641,30.0,56.39058780956279,30.0,53.41
RCBO6,RCB,Nuwan Thushara,Bowler,Sri Lanka,160,Right-hand,Right Medium-Fast,capped,56.02759793101988,70.12901045845814,51.7927636638,66.90971872004808,51.823001297335466,57.7719186720129,48.150430273528244,56.94259046960762,30.0,53.36
RCBO1,RCB,Josh Hazlewood,Bowler,Australia,1250,Right-hand,Right Medium-Fast,Elite,57.209228472957115,68.27102820805794,52.587594321971565,64.59705515145723,54.40349530634136,57.55629330261073,50.62475858140984,53.65332416420391,30.0,53.11
LSGA3,LSG,Abdul Samad,All Rounder,India,420,Right-hand,Right Leg-Spin,capped,63.35863690928034,51.38479419525645,66.90173978650671,52.796570723507955,68.45147449239681,65.13328327439652,30.0,58.06538186002289,55.01121507401541,52.85
DCO2,DC,Kuldeep Yadav,Bowler,India,1325,Left-hand,Left Leg-Spin,Elite,55.44659729505818,56.28078351492002,51.7927574244769,53.25718135910983,51.48401823288964,52.252780388177435,47.53374796667781,54.129063018999574,56.1581578613838,52.81
KKRB5,KKR,Rovman powell,Batter,West Indies,150,Right-hand,Right Medium-Fast,capped,57.45764207637466,48.458015560268436,67.7254813628885,46.891608165964314,63.197237883878486,64.15162687652547,49.643116589424366,56.235680033222266,30.0,52.56
LSGO8,LSG,Digvesh Rathi,Bowler,India,30,Right-hand,Right Leg-Spin,Uncapped,58.90375885567828,76.66897644114574,57.061874128047776,78.58263720202919,59.054251103419105,65.0316650224077,30.0,61.48266942540256,30.0,52.13
GTA8,GT,Sai Kishore,All Rounder,India,200,Left-hand,Left Off-Spin,capped,55.44301283607876,56.33019661386543,52.15628886470667,52.521473833891584,52.01326938095896,52.09861626958556,30.0,55.502804190093215,69.50706002229684,52.11
LSGO9,LSG,William O'Rourke,Bowler,New Zealand,300,Right-hand,Right Fast-Medium,capped,59.071818116811116,85.96715784029274,56.376653651509244,70.78143223034763,60.68005620835072,63.08575616848007,30.0,57.48850509006368,30.0,51.79
CSKO5,CSK,Mukesh Choudhary,Bowler,India,30,Left-hand,Left Medium-Fast,Uncapped,56.613018635407315,69.22513309130034,53.05294701596573,70.56228712947618,53.32760244754703,62.41835448099646,30.0,51.25473601903184,66.56318487951386,51.75
DCA7,DC,Madhav Tiwari,All Rounder,India,40,Right-hand,Right Medium-Fast,Uncapped,56.002428606394005,48.2910809178354,75.29278575630343,47.92790934132883,73.36296458459162,72.93457318767908,48.233711215015376,54.79761693570018,30.0,51.69
CSKA8,CSK,Sam Curran,All Rounder,England,240,Left-hand,Left Fast-Medium,capped,65.65899662308922,53.18102960478885,59.56895705924698,59.877089633106706,57.379061686735284,58.837170905925205,30.0,72.68567591798558,30.0,51.69
